Site Number,Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type
"3,551",Shaw's Bridge (Lagan Valley Regional Park),J330692,"144,999","524,759","2,149",Northern Ireland,5,3,"2,010","2,015",UKBMS
"3,552",Woodland Trust (Lagan Valley Regional Park),J341696,"146,129","525,064","1,901",Northern Ireland,5,2,"2,010","2,011",UKBMS
"3,553",Garry Bog NR,C935302,"110,850","588,937","1,520",Northern Ireland,5,5,"2,011","2,015",UKBMS
"3,554",Magilligan Point NR,C661389,"84,282","599,966","1,450",Northern Ireland,7,5,"2,011","2,015",UKBMS
"3,555",Breen Oakwood,D121336,"129,681","590,728","2,390",Northern Ireland,8,10,"2,006","2,015",UKBMS
"3,556",Killykeeghan & Crossmurrin Nature Reserve,H112348,"20,617","500,834","2,890",Northern Ireland,8,5,"2,011","2,015",UKBMS
"3,557",Giant's Causeway,C946443,"113,157","602,896","1,650",Northern Ireland,12,5,"2,011","2,015",UKBMS
"3,558",Cave Hill,J322788,"145,020","534,394",,Northern Ireland,,3,"2,013","2,015",UKBMS
"3,559",Murlough (single-species),J401341,"149,087","489,177","4,414",Northern Ireland,3,2,"2,014","2,015",UKBMS
"3,601",Severn Valley Country Park,SO75308400,"375,300","284,000","4,000",England,8,1,"2,005","2,005",UKBMS
"3,602",Ravensgate Hill,SO980186,"398,000","218,600",585,England,4,11,"2,005","2,015",UKBMS
"3,603",West Malvern,SO76704570,"376,700","245,700","2,860",England,13,10,"2,006","2,015",UKBMS
"3,604","Coombe Hill, Wotton-u-Edge, code 3604",ST76409410,"376,400","194,100","2,020",England,11,10,"2,006","2,015",UKBMS
"3,605",Titterells,SO47708600,"347,700","286,000","1,960",England,8,4,"2,006","2,009",UKBMS
"3,606",Old Hills Revised,SO82604880,"382,600","248,800","1,960",England,10,6,"2,006","2,015",UKBMS
"3,607",Gorsty Knoll,SO58800890,"358,800","208,900","2,100",England,15,9,"2,007","2,015",UKBMS
