Site Number,Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type,PRIVATE
1117,Whitbarrow NNR  - Wakebarrow,SD450870,345000,487000,3505,England,15,17,1996,2016,UKBMS,N
1118,Whitbarrow NNR - Farrer's Allotment,SD45408560,345400,485600,4100,England,15,21,1996,2016,UKBMS,N
1119,Whitbarrow NNR - Hervey CWT,SD440870,344000,487000,4000,England,11,19,1995,2016,UKBMS,N
1120,Lambhowe Plantation North,SD41609150,341600,491500,2450,England,11,5,1996,2002,UKBMS,N
1121,Ainsdale NNR,SD28501050,328500,410500,,England,7,18,1980,1997,UKBMS,N
1122,Arnside Knott NT,SD45507640,345500,476400,4700,England,12,25,1991,2016,UKBMS,N
1123,Barkbooth Lot (CWT),SD41509060,341500,490600,1460,England,10,16,1993,2016,UKBMS,N
1124,Brigsteer Park Wood (NT),SD48708800,348700,488000,3000,England,6,21,1992,2015,UKBMS,N
1125,Dick Fell,SD47307970,347300,479700,1295,England,7,19,1996,2016,UKBMS,N
1126,Eaves Wood NT,SD46407630,346400,476300,4500,England,11,26,1991,2016,UKBMS,N
1127,Flash Bank Wood NT,SD48808810,348800,488100,950,England,5,20,1992,2015,UKBMS,N
1129,Seaforth Nature Reserve,SJ31909700,331900,397000,1300,England,1,9,1990,2001,UKBMS,N
1130,Heysham Local Nature Reserve,SD40506000,340500,460000,,England,10,8,1988,1998,UKBMS,N
1131,Teddy Heights (old),SD47407910,347400,479100,,England,7,2,1998,1999,UKBMS,N
1132,Clints Quarry,NY00801230,300800,512300,1205,England,,6,2011,2016,UKBMS,N
1134,Waitby Greenriggs,NY760085,376000,508500,,England,14,9,1998,2016,UKBMS,N
1135,Campfield Marsh,NY20506020,320500,560200,1810,England,,4,1997,2001,UKBMS,N
1136,Martin Mere,SD42201450,342200,414500,3600,England,6,18,1995,2012,UKBMS,N
1138,Mere Sands Wood New,SD44701570,344700,415700,1905,England,8,4,2004,2007,UKBMS,N
1139,"Radbrook, Downham",SD78104300,378100,443000,2570,England,14,2,2002,2003,UKBMS,N
1140,Brant Whetland,SD33709370,333700,493700,295,England,4,11,2001,2014,UKBMS,N
1141,Field of Dreams,SD47507500,347500,475000,1030,England,9,15,2002,2016,UKBMS,N
1142,Holme Park Fell,SD54107910,354100,479100,3315,England,10,15,2002,2016,UKBMS,N
1143,Yealand Hall Allotment,SD490764,349000,476400,4000,England,14,15,2002,2016,UKBMS,N
1144,Holme Park Quarry Reserve,SD53707830,353700,478300,1092,England,11,14,2003,2016,UKBMS,N
1145,Coldwell Parrock,SD480778,348000,477800,955,England,3,15,2002,2016,UKBMS,N
1146,Lancelot Clark Storth,SD54607720,354600,477200,2285,England,15,21,1995,2016,UKBMS,N
1147,Gait Barrows NNR (Warden's),SD48307740,348300,477400,1900,England,15,24,1993,2016,UKBMS,N
1148,Lambhowe Plantation North,SD41109160,341100,491600,1360,England,8,3,2003,2005,UKBMS,N
1149,Teddy Heights,SD47407910,347400,479100,2200,England,6,15,1998,2016,UKBMS,N
1150,Beetham Fell,SD48707930,348700,479300,3190,England,12,11,2005,2016,UKBMS,N
1151,Burton Fell,SD54507780,354500,477800,2290,England,10,13,2002,2016,UKBMS,N
1153,Dobshall Wood,SD450780,345000,478000,1095,England,7,10,2006,2016,UKBMS,N
1155,North Walney NNR,SD170723,317000,472300,4000,England,12,3,2007,2010,UKBMS,N
1156,Foulshaw Moss,SD460860,346000,486000,2700,England,5,2,2006,2007,UKBMS,N
