Administrative port,Home port,Port letters and numbers,Vessel name,Registry of Shipping and Seamen number,Licence number,Fish producer organisation,Overall length,Registered tonnage,Engine power,Vessel capacity units,Year built,Hull,Country of construction,Licence Category,Shellfish  licence (Y/N),Scallop licence (Y/N)
PLYMOUTH,PLYMOUTH,FY126,AQUARIUS OF CAWSAND,A17243,12600,SOUTH WESTERN FPO LTD,11.1,11.69,179.04,127.299,1971,W,GBR,CATEGORY A,N,N
PLYMOUTH,PLYMOUTH,FY614,CAZADORA,A17456,10505,CORNISH FPO LTD,10.77,12.89,177,124.669,1985,W,,CATEGORY A,N,N
PLYMOUTH,PLYMOUTH,GU199,PEADAR MARIE,G00563,40520,NON-SECTOR,18.35,89.18,317,254.952,1992,U,NLD,CATEGORY C,Y,N
PLYMOUTH,PLYMOUTH,J173,LE BULOTIER,J10224,12262,NON-SECTOR,11.86,14.96,155.4,117.37,1991,U,,CATEGORY C,Y,N
PLYMOUTH,PLYMOUTH,J692,CAPRICE DES MERS,J10258,12594,NON-SECTOR,11.2,5.85,238.72,151.104,1997,U,,CATEGORY C,Y,N
PLYMOUTH,PLYMOUTH,LT1045,DILIGENT JO,C20966,12885,SOUTH WESTERN FPO LTD,14.98,62.81,221,200.116,2017,S,GBR,CATEGORY A,N,Y
PLYMOUTH,PLYMOUTH,PH1017,MERLIN,C20470,44400,NON-SECTOR,11.5,9.03,96,84.255,2013,F,GBR,CATEGORY A,N,N
PLYMOUTH,PLYMOUTH,PH1023,JACKDAW,B10401,41178,NON-SECTOR,11.3,11.79,90,89.09,1989,S,GBR,CATEGORY A,N,Y
PLYMOUTH,PLYMOUTH,PH1100,WIRON 5,C20514,12480,INTERFISH,50.63,1230,2191,1573.258,2002,S,,BLUE WHITING,N,N
PLYMOUTH,PLYMOUTH,PH1100,WIRON 5,C20514,12480,INTERFISH,50.63,1230,2191,1573.258,2002,S,,CATEGORY A (PELAGIC),N,N
